"seqCrct","seqRT","pushed","crctKey","tt","is_switch","is_probe","sequence","subj.blk","trial.type","response.type","trial"
1,0.818133,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",1
1,0.527868,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",2
1,0.539664,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",3
1,0.434776,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",4
0,0.649351,2,1,1,0,1,"XXX","BL_1_726897.8079","nbk","wrong",5
1,0.731352,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",6
-1,Inf,0,1,1,0,1,"XXX","BL_1_726897.8079","nbk","noresp",7
1,0.49006,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",8
-1,Inf,0,3,1,0,0,"003","BL_1_726897.8079","nbk","noresp",9
1,0.889461,2,2,1,0,1,"XXX","BL_1_726897.8079","nbk","correct",10
-1,Inf,0,3,1,0,0,"003","BL_1_726897.8079","nbk","noresp",11
1,0.5438,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",12
1,0.705806,3,3,1,0,1,"XXX","BL_1_726897.8079","nbk","correct",13
1,0.523088,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",14
1,0.612111,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",15
1,0.494362,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",16
1,0.521902,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",17
1,0.504109,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",18
1,0.530508,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",19
-1,Inf,0,2,1,0,1,"XXX","BL_1_726897.8079","nbk","noresp",20
1,0.746565,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",21
0,0.828646,1,2,1,0,1,"XXX","BL_1_726897.8079","nbk","wrong",22
1,0.614174,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",23
1,0.501434,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",24
1,0.648543,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",25
1,0.553472,1,1,1,0,1,"XXX","BL_1_726897.8079","nbk","correct",26
1,0.683175,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",27
1,0.579136,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",28
1,0.572824,3,3,1,0,1,"XXX","BL_1_726897.8079","nbk","correct",29
1,0.683287,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",30
1,0.515026,1,1,1,0,0,"100","BL_1_726897.8079","nbk","correct",31
1,0.517619,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",32
1,0.525196,1,1,1,0,1,"XXX","BL_1_726897.8079","nbk","correct",33
1,0.50411,3,3,1,0,0,"003","BL_1_726897.8079","nbk","correct",34
1,0.567621,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",35
1,0.623787,2,2,1,0,0,"020","BL_1_726897.8079","nbk","correct",36
