"seqCrct","seqRT","pushed","crctKey","tt","is_switch","is_probe","sequence","trialno","rsponset","subj","block","sttime","trial.type","response.type","trial"
1,0.699651,3,3,1,0,0,"003",1,3335680.033619,"10142","1","201502270807","nbk","correct",1
1,0.448275,3,3,1,0,0,"003",2,3335682.548397,"10142","1","201502270807","nbk","correct",2
-1,Inf,0,3,1,0,1,"XXX",3,3335685.04638,"10142","1","201502270807","nbk","noresp",3
1,0.680396,2,2,1,0,0,"020",4,3335687.544393,"10142","1","201502270807","nbk","correct",4
1,0.568929,2,2,1,0,0,"020",5,3335690.042388,"10142","1","201502270807","nbk","correct",5
1,1.322686,2,2,1,0,1,"XXX",6,3335692.540388,"10142","1","201502270807","nbk","correct",6
1,0.62373,1,1,1,0,0,"100",7,3335695.038381,"10142","1","201502270807","nbk","correct",7
1,0.512258,3,3,1,0,0,"003",8,3335697.536381,"10142","1","201502270807","nbk","correct",8
1,1.482175,1,1,1,0,1,"XXX",9,3335700.034377,"10142","1","201502270807","nbk","correct",9
1,0.704901,2,2,1,0,0,"020",10,3335702.549135,"10142","1","201502270807","nbk","correct",10
-1,Inf,0,1,1,0,0,"100",11,3335705.047136,"10142","1","201502270807","nbk","noresp",11
0,0.913445,1,2,1,0,1,"XXX",12,3335707.545147,"10142","1","201502270807","nbk","wrong",12
1,0.771434,2,2,1,0,0,"020",13,3335710.043144,"10142","1","201502270807","nbk","correct",13
1,0.937709,1,1,1,0,0,"100",14,3335712.541139,"10142","1","201502270807","nbk","correct",14
1,0.547856,1,1,1,0,0,"100",15,3335715.039136,"10142","1","201502270807","nbk","correct",15
1,1.023565,1,1,1,0,1,"XXX",16,3335717.537133,"10142","1","201502270807","nbk","correct",16
1,0.849611,1,1,1,0,0,"100",17,3335720.03513,"10142","1","201502270807","nbk","correct",17
1,0.645363,3,3,1,0,0,"003",18,3335722.533129,"10142","1","201502270807","nbk","correct",18
1,0.640887,3,3,1,0,0,"003",19,3335725.047893,"10142","1","201502270807","nbk","correct",19
0,1.085601,1,3,1,0,1,"XXX",20,3335727.545889,"10142","1","201502270807","nbk","wrong",20
1,0.819067,2,2,1,0,0,"020",21,3335730.043883,"10142","1","201502270807","nbk","correct",21
1,0.522738,2,2,1,0,0,"020",22,3335732.541882,"10142","1","201502270807","nbk","correct",22
1,0.689191,2,2,1,0,1,"XXX",23,3335735.039896,"10142","1","201502270807","nbk","correct",23
1,0.700642,2,2,1,0,0,"020",24,3335737.537893,"10142","1","201502270807","nbk","correct",24
1,0.826681,1,1,1,0,0,"100",25,3335740.035892,"10142","1","201502270807","nbk","correct",25
0,0.622647,1,2,1,0,1,"XXX",26,3335742.533878,"10142","1","201502270807","nbk","wrong",26
-1,Inf,0,1,1,0,1,"XXX",27,3335745.048645,"10142","1","201502270807","nbk","noresp",27
1,0.591255,3,3,1,0,0,"003",28,3335747.546639,"10142","1","201502270807","nbk","correct",28
1,0.51034,1,1,1,0,0,"100",29,3335750.044638,"10142","1","201502270807","nbk","correct",29
1,0.398711,3,3,1,0,1,"XXX",30,3335752.542647,"10142","1","201502270807","nbk","correct",30
-1,Inf,0,1,1,0,1,"XXX",31,3335755.040634,"10142","1","201502270807","nbk","noresp",31
1,0.43181,3,3,1,0,0,"003",32,3335757.538641,"10142","1","201502270807","nbk","correct",32
1,0.474389,1,1,1,0,0,"100",33,3335760.036632,"10142","1","201502270807","nbk","correct",33
1,1.443746,3,3,1,0,1,"XXX",34,3335762.534642,"10142","1","201502270807","nbk","correct",34
1,0.43631,2,2,1,0,0,"020",35,3335765.032627,"10142","1","201502270807","nbk","correct",35
1,0.47304,2,2,1,0,0,"020",1,3336230.347774,"10142","1","201502270819","nbk","correct",1
1,0.530156,2,2,1,0,0,"020",2,3336232.862534,"10142","1","201502270819","nbk","correct",2
1,0.38759,2,2,1,0,1,"XXX",3,3336235.360539,"10142","1","201502270819","nbk","correct",3
1,0.801789,3,3,1,0,0,"003",4,3336237.858545,"10142","1","201502270819","nbk","correct",4
1,0.628377,2,2,1,0,0,"020",5,3336240.356541,"10142","1","201502270819","nbk","correct",5
0,0.516788,2,3,1,0,1,"XXX",6,3336242.854538,"10142","1","201502270819","nbk","wrong",6
1,0.590584,1,1,1,0,0,"100",7,3336245.352537,"10142","1","201502270819","nbk","correct",7
1,0.75763,2,2,1,0,0,"020",8,3336247.850527,"10142","1","201502270819","nbk","correct",8
1,0.522353,1,1,1,0,1,"XXX",9,3336250.348529,"10142","1","201502270819","nbk","correct",9
1,0.534817,1,1,1,0,0,"100",10,3336252.846531,"10142","1","201502270819","nbk","correct",10
1,0.529371,3,3,1,0,0,"003",11,3336255.361295,"10142","1","201502270819","nbk","correct",11
1,0.634839,1,1,1,0,0,"100",12,3336257.859295,"10142","1","201502270819","nbk","correct",12
1,0.369148,3,3,1,0,1,"XXX",13,3336260.357293,"10142","1","201502270819","nbk","correct",13
1,0.504609,3,3,1,0,0,"003",14,3336262.855298,"10142","1","201502270819","nbk","correct",14
1,0.423921,3,3,1,0,0,"003",15,3336265.353289,"10142","1","201502270819","nbk","correct",15
1,0.63811,3,3,1,0,1,"XXX",16,3336267.851289,"10142","1","201502270819","nbk","correct",16
1,0.433398,3,3,1,0,0,"003",17,3336270.349289,"10142","1","201502270819","nbk","correct",17
1,0.507231,2,2,1,0,0,"020",18,3336272.847284,"10142","1","201502270819","nbk","correct",18
1,0.379313,3,3,1,0,1,"XXX",19,3336275.362049,"10142","1","201502270819","nbk","correct",19
1,0.453557,3,3,1,0,0,"003",20,3336277.860041,"10142","1","201502270819","nbk","correct",20
1,0.496361,1,1,1,0,0,"100",21,3336280.358054,"10142","1","201502270819","nbk","correct",21
1,0.416182,3,3,1,0,1,"XXX",22,3336282.856047,"10142","1","201502270819","nbk","correct",22
1,0.42827,1,1,1,0,0,"100",23,3336285.354039,"10142","1","201502270819","nbk","correct",23
1,0.736499,2,2,1,0,0,"020",24,3336287.852034,"10142","1","201502270819","nbk","correct",24
1,0.346396,1,1,1,0,1,"XXX",25,3336290.35004,"10142","1","201502270819","nbk","correct",25
1,0.462984,1,1,1,0,0,"100",26,3336292.848039,"10142","1","201502270819","nbk","correct",26
1,0.427009,2,2,1,0,0,"020",27,3336295.362806,"10142","1","201502270819","nbk","correct",27
1,0.90237,3,3,1,0,0,"003",28,3336297.860799,"10142","1","201502270819","nbk","correct",28
1,0.358516,2,2,1,0,1,"XXX",29,3336300.358798,"10142","1","201502270819","nbk","correct",29
0,1.452047,2,3,1,0,1,"XXX",30,3336302.856797,"10142","1","201502270819","nbk","wrong",30
1,0.50647,2,2,1,0,0,"020",31,3336305.354796,"10142","1","201502270819","nbk","correct",31
1,0.487834,1,1,1,0,0,"100",32,3336307.852791,"10142","1","201502270819","nbk","correct",32
1,0.653672,2,2,1,0,1,"XXX",33,3336310.350794,"10142","1","201502270819","nbk","correct",33
0,1.345252,2,1,1,0,1,"XXX",34,3336312.848794,"10142","1","201502270819","nbk","wrong",34
1,0.461964,1,1,1,0,0,"100",35,3336315.346792,"10142","1","201502270819","nbk","correct",35
1,0.843744,1,1,2,0,NA,"221",1,3335854.289981,"10142","2","201502270813","intf","correct",1
0,0.85471,2,1,2,0,NA,"313",2,3335856.603574,"10142","2","201502270813","intf","wrong",2
1,0.696827,1,1,2,0,NA,"221",3,3335858.900387,"10142","2","201502270813","intf","correct",3
1,0.940993,3,3,2,0,NA,"322",4,3335861.197206,"10142","2","201502270813","intf","correct",4
1,0.875598,3,3,2,0,NA,"322",5,3335863.494018,"10142","2","201502270813","intf","correct",5
1,0.780508,3,3,2,0,NA,"131",6,3335865.790846,"10142","2","201502270813","intf","correct",6
1,0.791017,2,2,2,0,NA,"233",7,3335868.104419,"10142","2","201502270813","intf","correct",7
1,0.726026,1,1,2,0,NA,"313",8,3335870.401249,"10142","2","201502270813","intf","correct",8
1,0.691975,3,3,2,0,NA,"322",9,3335872.698058,"10142","2","201502270813","intf","correct",9
1,0.750641,3,3,2,0,NA,"131",10,3335874.994886,"10142","2","201502270813","intf","correct",10
1,0.778217,3,3,2,0,NA,"131",11,3335877.291702,"10142","2","201502270813","intf","correct",11
1,0.727967,1,1,2,0,NA,"221",12,3335879.60528,"10142","2","201502270813","intf","correct",12
1,0.724576,3,3,2,0,NA,"322",13,3335881.902098,"10142","2","201502270813","intf","correct",13
1,0.690628,3,3,2,0,NA,"322",14,3335884.198912,"10142","2","201502270813","intf","correct",14
1,0.580067,1,1,2,0,NA,"122",15,3335886.495737,"10142","2","201502270813","intf","correct",15
1,0.793106,2,2,2,0,NA,"112",16,3335888.792546,"10142","2","201502270813","intf","correct",16
1,0.913814,1,1,2,0,NA,"313",17,3335891.089374,"10142","2","201502270813","intf","correct",17
1,0.822184,3,3,2,0,NA,"322",18,3335893.402947,"10142","2","201502270813","intf","correct",18
1,0.726682,3,3,2,0,NA,"131",19,3335895.69976,"10142","2","201502270813","intf","correct",19
1,0.75468,2,2,2,0,NA,"112",20,3335897.996587,"10142","2","201502270813","intf","correct",20
1,0.627818,2,2,2,0,NA,"112",21,3335900.293398,"10142","2","201502270813","intf","correct",21
1,0.796432,2,2,2,0,NA,"233",22,3335902.590224,"10142","2","201502270813","intf","correct",22
1,0.591409,2,2,2,0,NA,"112",23,3335904.903802,"10142","2","201502270813","intf","correct",23
1,0.588255,2,2,2,0,NA,"112",24,3335907.200626,"10142","2","201502270813","intf","correct",24
