seqCrct,seqRT,pushed,crctKey,tt,is_switch,is_probe,sequence
-1,Inf,0,2,2,0,NaN,233
1,0.777475,1,1,2,0,NaN,221
1,0.820578,2,2,2,0,NaN,233
1,0.954637,3,3,2,0,NaN,131
-1,Inf,0,1,2,0,NaN,313
-1,Inf,0,3,2,0,NaN,131
1,0.784392,1,1,2,0,NaN,221
1,0.868283,3,3,2,0,NaN,322
1,0.837578,3,3,2,0,NaN,131
1,0.779269,3,3,2,0,NaN,322
1,0.863332,2,2,2,0,NaN,112
1,0.671374,1,1,2,0,NaN,221
1,0.890572,1,1,2,0,NaN,313
1,0.789491,2,2,2,0,NaN,233
1,0.957222,3,3,2,0,NaN,131
1,0.763781,2,2,2,0,NaN,112
1,0.760828,1,1,2,0,NaN,221
1,0.826304,1,1,2,0,NaN,221
1,0.816705,1,1,2,0,NaN,313
-1,Inf,0,3,2,0,NaN,223
1,0.940794,2,2,2,0,NaN,233
1,0.746098,3,3,2,0,NaN,322
1,0.897145,3,3,2,0,NaN,131
1,0.643881,1,1,2,0,NaN,221
1,0.646301,3,3,2,0,NaN,322
1,0.832585,3,3,2,0,NaN,113
1,0.791272,2,2,2,0,NaN,112
1,0.913960,2,2,2,0,NaN,233
1,0.763698,3,3,2,0,NaN,113
1,0.769126,2,2,2,0,NaN,112
1,0.707899,1,1,2,0,NaN,221
1,0.823324,1,1,2,0,NaN,313
1,0.766921,3,3,2,0,NaN,322
1,0.711752,2,2,2,0,NaN,233
1,0.754315,1,1,2,0,NaN,313
1,0.851924,2,2,2,0,NaN,112
1,0.707283,2,2,2,0,NaN,112
1,0.744733,2,2,2,0,NaN,233
1,0.680195,1,1,2,0,NaN,133
1,0.720315,1,1,2,0,NaN,221
